_id	pin	address	billing_city	current_delq_tax	current_delq_pi	prior_years	prior_delq_tax	prior_delq_pi	state_description	neighborhood	council_district	ward	public_works_division	pli_division	police_zone	fire_zone	longitude	latitude
930304	0003G00130000000	1013 E CARSON ST	PITTSBURGH, PA	4660.18	0	0	0	0	Commercial	South Side Flats	3	17	4	17	3	4-24	-79.98793454594073	40.42892940998876
930305	0004A00275000000	319 AMABELL ST	PITTSBURGH, PA	742.8	6.13	0	0	0	Residential	Mount Washington	2	19	5	19	3	4-1	-80.01443783544602	40.4312434683268
930306	0004P00038000000	466 NORTON ST	PITTSBURGH, PA	1440.96	0	0	0	0	Residential	Mount Washington	2	19	5	19	3	4-27	-80.01150899421037	40.42494327917445
930307	0006M00312113702	1301 GRANDVIEW AVE UNIT 1137-D	MC KEES ROCKS, PA	1370.42	0	0	0	0	Commercial	Duquesne Heights	2	19	5	19	3	4-1	-80.02019706834412	40.43847630057903
930308	0006R00111000000	465 WYOLA ST	IRVING, TX	8083.91	66.81	0	0	0	Residential	Duquesne Heights	2	19	5	19	3	4-1	-80.02352755556917	40.43443572448945
930309	0012J00020000000	159 S 16TH ST	HUNTERSVILLE, NC	39.65	0	0	0	0	Residential	South Side Flats	3	17	4	17	3	4-24	-79.98273209800672	40.42659788112954
930310	0012J00066000000	113 S 16TH ST	PITTSBURGH, PA	150	0	0	0	0	Residential	South Side Flats	3	17	4	17	3	4-24	-79.98263775027549	40.428144024089576
930311	0012P00071000900	1958 JOSEPHINE ST	PITTSBURGH, PA	6608.11	0	0	0	0	Residential	South Side Slopes	3	17	4	17	3	4-24	-79.97828080638257	40.42482015457069
930312	0013B00026000000	2121 SAINT LEO ST	PITTSBURGH, PA	1338.04	0	0	0	0	Residential	South Side Slopes	3	17	4	17	3	4-3	-79.97823464250537	40.422840606844936
930313	0013B00027000000	2123 SAINT LEO ST	PITTSBURGH, PA	1336.12	0	0	0	0	Residential	South Side Slopes	3	17	4	17	3	4-3	-79.9782773200041	40.42276898740876
930314	0013S00185000000	2824 SPRING ST	PITTSBURGH, PA	147.63	0	0	0	0	Residential	Arlington	3	16	4	16	3	4-8	-79.96832903619497	40.415402834573726
930315	0019G00082000000	820 WALBRIDGE ST	CARNEGIE, PA	779.43	6.43	0	0	0	Residential	Elliott	2	20	5	20	6	1-17	-80.0374649957363	40.43829383077137
930316	0023S00100000000	428 AVERY ST	GIBSONIA, PA	2479.72	0	0	0	0	Residential	East Allegheny	1	23	1	23	1	1-20	-80.00052353498958	40.45305203785911
930317	0024K00016000000	857 SUISMON ST	PITTSBURGH, PA	1189.32	0	0	0	0	Commercial	East Allegheny	1	23	1	23	1	1-5	-79.99507613619609	40.456118064499634
930318	0024K00268000000	914 SUISMON ST	GIBSONIA, PA	792.9	0	0	0	0	Residential	East Allegheny	1	23	1	23	1	1-5	-79.9944167240387	40.45642759786927
930319	0024K00269000000	916 SUISMON ST	GIBSONIA, PA	653.75	0	0	0	0	Residential	East Allegheny	1	23	1	23	1	1-5	-79.99428232914208	40.45645322621744
930320	0026K00060000000	3415 RIDGWAY ST	PITTSBURGH, PA	187.66	0	0	0	0	Residential	Polish Hill	7	6	3	6	2	2-24	-79.96142617534387	40.45699688265231
930321	0027H00186000000	147 N CRAIG ST	PITTSBURGH, PA	27155.24	0	0	0	0	Commercial	North Oakland	8	4	3	4	4	2-9	-79.95052085458256	40.44872495375573
930322	0027L00200000000	203 LYTTON AVE	PITTSBURGH, PA	7043.43	0	0	0	0	Residential	North Oakland	8	4	3	4	4	2-7	-79.95635019345697	40.44662619099307
930323	0029C00270003400	201 HOLMES PL UNIT 7	FREEPORT, NY	1400.92	0	0	0	0	Residential	South Oakland	3	4	3	4	4	2-11	-79.95443561709864	40.43241800913594
930324	0033B00336000000	335 MOORE AVE	VERONA, PA	1000.66	0	0	0	0	Residential	Knoxville	3	30	4	30	3	4-7	-79.99440897658907	40.41223432069315
930325	0035C00123000000	1511 DAGMAR AVE	PITTSBURGH, PA	395.28	0	0	0	0	Residential	Beechview	4	19	5	19	6	4-28	-80.02269693027878	40.41262121176517
930326	0035P00258000000	2186 PAULINE AVE	PITTSBURGH, PA	1094.57	0	0	0	0	Residential	Beechview	4	19	5	19	6	4-28	-80.0252957327695	40.40412676048678
930327	0039C00290000000	1771 CHESSLAND ST	PITTSBURGH, PA	200	0	0	0	0	Residential	Westwood	2	28	5	28	6	1-18	-80.05551043106831	40.43140513493744
930328	0041K00210000000	2704 MIDDLETOWN RD	PITTSBURGH, PA	514.41	0	0	0	0	Residential	Crafton Heights	2	28	5	28	6	1-16	-80.05986314174233	40.445888493700586
930329	0045A00029000000	 ECKERT ST	PITTSBURGH, PA	22.87	0	0	0	0	Residential	Marshall-Shadeland	6	27	1	27	1	1-14	-80.03275037790237	40.47105320492962
930330	0046B00207000000	2649 PERRYSVILLE AVE	GIBSONIA, PA	1589.61	0	0	0	0	Residential	Perry South	6	26	1	26	1	1-23	-80.01071917697473	40.47217709378588
930331	0046R00051000000	1944 MOUNTFORD AVE	PITTSBURGH, PA	834.96	0	0	0	0	Residential	Fineview	1	25	1	25	1	1-10	-80.0071829138001	40.46355681033978
930332	0049P00202000000	3912 MINTWOOD ST	OAKMONT, PA	403.33	3.33	0	0	0	Residential	Lower Lawrenceville	7	6	1	6	2	3-6	-79.95911272562537	40.46384597905181
930333	0052A00172020200	4677 BAYARD ST UNIT 202	PITTSBURGH, PA	907.5	7.5	0	0	0	Residential	North Oakland	8	4	3	4	4	2-9	-79.949187200605	40.45052350869916
930334	0052E00047030300	540 N NEVILLE ST UNIT 303	PITTSBURGH, PA	3114.4	0	0	0	0	Residential	North Oakland	8	4	3	4	4	2-9	-79.94895694473377	40.44896331101189
930335	0060D00240000000	203 BIRMINGHAM AVE	PITTSBURGH, PA	602.71	4.99	0	0	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98625370293657	40.402697185076285
930336	0060H00044000000	226 THE BOULEVARD	PITTSBURGH, PA	1092.1	9.02	0	0	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98498634016569	40.40126652895116
930337	0064D00042000000	2480 RED OAK DR	PITTSBURGH, PA	831.47	6.86	0	0	0	Residential	Banksville	2	20	5	20	6	4-9	-80.04996603977261	40.402765561495166
930338	0080D00355000000	5256 HOLMES ST	PITTSBURGH, PA	233.82	1.93	0	0	0	Residential	Upper Lawrenceville	7	10	2	10	2	3-5	-79.95061873701796	40.48005257550023
930339	0080G00226000000	5160 CARNEGIE ST	LOS ANGELES, CA	1583.34	0	0	0	0	Residential	Upper Lawrenceville	7	10	2	10	2	3-5	-79.95367690243782	40.47928699151228
930340	0080K00285000000	4724 PLUMMER ST	PITTSBURGH, PA	3547.08	0	0	0	0	Commercial	Central Lawrenceville	7	9	2	9	2	3-5	-79.95823060407339	40.47522400046091
930341	0080P00148000000	4517 PLUMMER ST	PITTSBURGH, PA	195.91	0	0	0	0	Residential	Central Lawrenceville	7	9	2	9	2	3-3	-79.96058149571495	40.4737647044314
930342	0080P00299000000	186 47TH ST	PITTSBURGH, PA	42.62	0	0	0	0	Residential	Central Lawrenceville	7	9	2	9	2	3-3	-79.95861481237726	40.47418527953223
930343	0081G00090000000	962 MILLERDALE ST	PITTSBURGH, PA	1612	0	0	0	0	Residential	Stanton Heights	9	10	2	10	5	3-7	-79.9377427065703	40.47716020688855
930344	0081H00164000000	4804 SOMERVILLE ST	BETHEL PARK, PA	1894.56	0	0	0	0	Residential	Stanton Heights	9	10	2	10	5	3-7	-79.93545356300342	40.47894629749992
930345	0083A00186000000	5509 HAYS ST	PITTSBURGH, PA	700	0	0	0	0	Residential	East Liberty	9	11	2	11	5	3-8	-79.92908802189385	40.470770008676496
930346	0084D00002000000	400 ENRIGHT CT	PITTSBURGH, PA	140.17	1.16	0	0	0	Residential	East Liberty	9	12	2	12	5	3-10	-79.91660816479782	40.46096522582716
930347	0085B00284000000	5809 HOWE ST	PITTSBURGH, PA	6279.11	0	0	0	0	Residential	Shadyside	8	7	2	7	4	3-11	-79.92799297961109	40.45229072629612
930348	0085E00014000000	5529 KENTUCKY AVE	SEATTLE, WA	5980.95	0	0	0	0	Residential	Shadyside	8	7	2	7	4	3-22	-79.9322377255381	40.450066392052975
930349	0087A00095000000	5500 KAMIN ST	PITTSBURGH, PA	2438.51	0	0	0	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93037924348886	40.43281709564587
930350	0087C00157000000	2300 PITTOCK ST	PITTSBURGH, PA	2659.63	0	0	0	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.9208211160532	40.43142918145999
930351	0087J00128000000	1009 FLEMINGTON ST	PITTSBURGH, PA	70.26	0.58	0	0	0	Residential	Greenfield	5	15	3	15	4	2-15	-79.93013753839982	40.427524945178014
930352	0091J00322000000	111 CIRCLE AVE	PITTSBURGH, PA	1284.64	0	0	0	0	Residential	New Homestead	5	31	4	31	4	4-20	-79.92899944414974	40.38918345636306
930353	0094J00018000000	58 CARRICK AVE	PITTSBURGH, PA	1285.75	10.62	0	0	0	Residential	Carrick	4	29	4	29	3	4-15	-79.98215329978233	40.38901820907434
930354	0094N00213000000	2444 EDGAR ST	PITTSBURGH, PA	831.77	0	0	0	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98216100665941	40.38582290711029
930355	0096P00210000000	1690 SEATON ST	PITTSBURGH, PA	200	0	0	0	0	Residential	Brookline	4	19	4	19	6	4-25	-80.00933172773847	40.38619642473593
930356	0124P00079000000	6409 MEADOW ST	PITTSBURGH, PA	104.61	0	0	0	0	Residential	Larimer	9	12	2	12	5	3-12	-79.9118826612935	40.463211161311705
930357	0173A00299000000	6992 LEMINGTON AVE	PITTSBURGH, PA	22.87	0	0	0	0	Residential	Lincoln-Lemington-Belmar	9	12	2	12	5	3-18	-79.89851671883008	40.47139805897833
930358	0185S00211000000	5702 OLLIE ST	PITTSBURGH, PA	571.58	0	0	0	0	Residential	Lincoln Place	5	31	4	31	4	4-20	-79.9187371526861	40.36640437834206
930359	0231P00126000000	8333 ROLFE ST	PITTSBURGH, PA	926.48	0	0	0	0	Residential	East Hills	9	13	2	13	5	3-17	-79.87708344031255	40.45440042897246
930360	0001C00224000000	500 LIBERTY AVE	PITTSBURGH, PA	0	0	1	12043.75	0	Commercial	Central Business District	6	1	1	1	2	1-3	-80.00361774456626	40.441213586818655
930361	0001C00228000100	100 FORBES AVE	PITTSBURGH, PA	0	0	1	2047.17	904.13	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00389915919439	40.44082260372408
930362	0001C00228000200	424 STANWIX ST	PITTSBURGH, PA	0	0	1	14443.62	6379.01	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00377175939366	40.44077241655
930363	0001C00228000400	424 STANWIX ST	PITTSBURGH, PA	0	0	1	32735.42	3000.62	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00396557066803	40.440725819234736
930364	0001C01661A05700	320 FORT DUQUESNE BLVD STE 120	PITTSBURGH, PA	0	0	1	1658.22	0	Commercial	Central Business District	1	2	1	2	2	1-3	-80.00672580967988	40.44208771850606
930365	0001C01662006100	320 FORT DUQUESNE BLVD UNIT 6A	PITTSBURGH, PA	0	0	1	1283.2	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00722608549965	40.44247859597868
930366	0001C01662021300	320 FORT DUQUESNE BLVD UNIT 21C	PITTSBURGH, PA	0	0	1	19.46	3.08	Residential	Central Business District	1	2	1	2	2	1-3	-80.00637274504567	40.44255921353236
930367	0001C01662023400	320 FORT DUQUESNE BLVD UNIT 23D	KEY WEST, FL	0	0	1	1180.01	344.16	Residential	Central Business District	1	2	1	2	2	1-3	-80.00698218296864	40.442388691651686
930368	0001C01662081100	320 FORT DUQUESNE BLVD UNIT 8K	PITTSBURGH, PA	0	0	1	19.97	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00688903063806	40.44241093377837
930369	0001C01662A01900	320 FORT DUQUESNE BLVD UNIT 19A	PITTSBURGH, PA	0	0	1	1024.61	17.07	Residential	Central Business District	1	2	1	2	2	1-3	-80.0068752912299	40.44273238784145
930370	0001C01662A02000	320 FORT DUQUESNE  BLVD UNIT 20A	DES MOINES, IA	0	0	1	2502.59	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00663932497903	40.442708659688265
930371	0001C01662F01900	320 FORT DUQUESNE BLVD UNIT 19F	PITTSBURGH, PA	0	0	1	1183.19	19.72	Residential	Central Business District	1	2	1	2	2	1-3	-80.00673339213843	40.44253613822191
930372	0001C01662J00500	320 FORT DUQUESNE BLVD UNIT 5J	IRVING, TX	0	0	1	2744.64	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00661368960198	40.44238853059378
930373	0001C01662J00700	320 FORT DUQUESNE BLVD UNIT 7J	CHERRY HILL, NJ	0	0	1	2255.26	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00662599856312	40.44241533853521
930374	0001C01662J00900	320 FORT DUQUESNE BLVD UNIT 9J	PITTSBURGH, PA	0	0	1	2029.9	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.00663808431078	40.442441815364845
930375	0001C01662L02500	320 FORT DUQUESNE BLVD UNIT 25L	PITTSBURGH, PA	0	0	1	808.5	13.48	Residential	Central Business District	1	2	1	2	2	1-3	-80.00673712647541	40.442658268706765
930376	0001C01662M00900	320 FORT DUQUESNE BLVD UNIT 9M	PITTSBURGH, PA	0	0	1	2685.56	0	Residential	Central Business District	1	2	1	2	2	1-3	-80.0067705006131	40.44273123305142
930377	0001D00023002A00	11 5TH AVE UNIT 201	IRVING, TX	0	0	1	44.23	12.16	Residential	Central Business District	1	2	1	2	2	1-3	-80.00284674649694	40.44244344913778
930378	0001D00259C71300	301 5TH AVE UNIT 713	PITTSBURGH, PA	0	0	1	6960.71	0	Residential	Central Business District	1	2	1	2	2	1-4	-79.99999241701896	40.440752122049
930379	0001D00259C71500	301 5TH AVE UNIT 715	PITTSBURGH, PA	0	0	1	8416.9	0	Residential	Central Business District	1	2	1	2	2	1-4	-79.99985703275574	40.44070121036001
930380	0001G00080000001	111 BOULEVARD OF THE ALLIES	PITTSBURGH, PA	0	0	1	2670.51	0	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00430293255398	40.43961677943307
930381	0001G00112000000	101 MARKET ST	PITTSBURGH, PA	0	0	1	27394.19	0	Residential	Central Business District	6	1	1	1	2	1-4	-80.00407713595102	40.43868209857639
930382	0001G00224040600	151 FORT PITT BLVD UNIT 406	PITTSBURGH, PA	0	0	1	308.35	5.14	Residential	Central Business District	6	1	1	1	2	1-4	-80.00449674672353	40.43863144042046
930383	0001G00224100100	151 FORT PITT BLVD UNIT 1001	PITTSBURGH, PA	0	0	1	7393.84	0	Residential	Central Business District	6	1	1	1	2	1-4	-80.00479590334801	40.438522943732046
930384	0001G00224100200	151 FORT PITT BLVD UNIT 1002	PITTSBURGH, PA	0	0	1	5813.3	0	Residential	Central Business District	6	1	1	1	2	1-4	-80.00475602375747	40.438508494101114
930385	0001G00224150100	151 FORT PITT BLVD UNIT 1501	PITTSBURGH, PA	0	0	1	157.13	43.2	Residential	Central Business District	6	1	1	1	2	1-4	-80.00463711878204	40.438360113398936
930386	0001G00224150500	151 FORT PITT BLVD UNIT 1505	PITTSBURGH, PA	0	0	1	895.84	664.39	Residential	Central Business District	6	1	1	1	2	1-4	-80.00456804850431	40.43833467060372
930387	0001H00217000000	4 MARKET SQ	PITTSBURGH, PA	0	0	1	2208.88	36.81	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00247155351798	40.44016934287676
930388	0001H00240000000	439 WOOD ST	AURORA, OH	0	0	1	475.27	7.92	Commercial	Central Business District	1	2	1	2	2	1-4	-80.00080525890937	40.44052607233982
930389	0001H00327070400	306 4TH AVE UNIT 704	PITTSBURGH, PA	0	0	1	667.1	0	Residential	Central Business District	6	1	1	1	2	1-4	-80.00119582025347	40.43921530717181
930390	0001H00327090100	306 4TH AVE UNIT 901	PITTSBURGH, PA	0	0	1	2282.56	57.06	Residential	Central Business District	6	1	1	1	2	1-4	-80.00115568760982	40.43917845728097
930391	0001H00363000000	319 3RD AVE	DRESHER, PA	0	0	1	6269.01	2664.23	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00083857297798	40.4387598515079
930392	0001H00365000000	313 3RD AVE	DALLAS, TX	0	0	1	4555.34	75.92	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00103398786013	40.43883625248802
930393	0001H0037000CU00	304 WOOD ST	PITTSBURGH, PA	0	0	1	968.42	0	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00122350559134	40.4389657217468
930394	0001J00039000000	620 GRANDVIEW AVE	PITTSBURGH, PA	0	0	1	18160.39	0	Residential	Mount Washington	2	19	5	19	3	4-1	-80.01355888311387	40.43577691733579
930395	0001J00056000000	720 GRANDVIEW AVE	HOUSTON, TX	0	0	1	155.8	2.6	Residential	Mount Washington	2	19	5	19	3	4-1	-80.01457583868202	40.4361526792231
930396	0001J00062001100	812 GRANDVIEW AVE UNIT 1A	EL TORO, CA	0	0	1	2383.55	0	Residential	Mount Washington	2	19	5	19	3	4-1	-80.01499086271913	40.43629758876515
930397	0001J00062002100	812 GRANDVIEW AVE UNIT 2A	PITTSBURGH, PA	0	0	1	4261.68	0	Residential	Mount Washington	2	19	5	19	3	4-1	-80.01491226024687	40.43638950803879
930398	0001K00072000000	510 W STATION SQUARE DR	CONNELLSVILLE, PA	0	0	1	49556	0	Commercial	South Shore	2	19	5	19	3	4-2	-80.00965193874592	40.436132219551695
930399	0001L00008000000	200 1ST AVE	PITTSBURGH, PA	0	0	1	46273.87	0	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00367885886864	40.438190755163376
930400	0001M00001000000	217 FORT PITT BLVD	PITTSBURGH, PA	0	0	1	13624.09	0	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00358026715529	40.438081801192475
930401	0001M00005000100	231 FORT PITT BLVD UNIT 1	COLUMBUS, OH	0	0	1	4091.8	68.19	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00328542920454	40.43782855798745
930402	0001M00005000200	231 FORT PITT BLVD UNIT 2	COLUMBUS, OH	0	0	1	4091.8	68.19	Commercial	Central Business District	6	1	1	1	2	1-4	-80.00323559829073	40.437900640522805
